aliasNames,shortName
"apache software licesne, version 1.1",spdx/Apache-1.1
apache softwarefoundation,Approved/Apache Software Foundation products NOTICE
apache v2,spdx/Apache-2.0
apache v2 license,spdx/Apache-2.0
apache v2.0,spdx/Apache-2.0
apache version 2.0,spdx/Apache-2.0
"apache version 2.0, january 2004",spdx/Apache-2.0
apache xml commons resolver,spdx/Apache-2.0
"apache, version 2.0",spdx/Apache-2.0
apache-1.0,spdx/Apache-1.0
apache-1.1,spdx/Apache-1.1
apache-2.0,spdx/Apache-2.0
apache-2.0 # http://rometools.github.io/rome/license.html,spdx/Apache-2.0
apache-2.0 # https://mvnrepository.com/artifact/org.apache.maven.doxia/doxia-sink-api,spdx/Apache-2.0
apache-2.0 or atomikos multiple licensing scheme https://www.atomikos.com/main/whichlicenseapplies,Approved/Atomikos Source Code Access Agreeement
"apache-2.0,bsd",Approved/Apache-2.0 + BSD 3-Clause
"apache-2.0,bsd,public",Approved/Apache-2.0 + BSD-3-Closuer
"apache-2.0,cc0,public",Approved/Apache-2.0 + CC0-1.0
apache-style license,Approved/Apache Software Foundation products NOTICE
"apache-style,",Approved/Apache Software Foundation products NOTICE
apache2,spdx/Apache-2.0
apache_v2,spdx/Apache-2.0
apachev2,spdx/Apache-2.0
apafml,spdx/APAFML
apl-1.0,spdx/APL-1.0
aplv2,spdx/Apache-2.0
apple license,spdx/APSL-1.1
apple mit license,spdx/AML
apple public source license,spdx/APSL-1.1
"apple public source license (apsl), version 1.x",spdx/APSL-1.0
"apple public source license (apsl), version 2",spdx/APSL-2.0
apple public source license 1.0,spdx/APSL-1.0
apple public source license 1.1,spdx/APSL-1.1
apple public source license 1.2,spdx/APSL-1.2
apple public source license 2.0,spdx/APSL-2.0
apple public source license?1.x,spdx/APSL-1.1
apple public source license?2.0,spdx/APSL-2.0
"apple's common documentation license, version 1.0",FSF/ACDL
approved/apache licensed notice,Approved/Apache Software Foundation products NOTICE
approved/apache software foundation + own products notice(1),Apache Software Foundation products NOTICE
approved/apache software foundation products notice(0),Approved/Apache Software Foundation products NOTICE
approved/apache software foundation products notice(1),Approved/Apache Software Foundation products NOTICE
approved/apache software foundation+ own products notice(1),Apache Software Foundation products NOTICE
approved/apache-1.0,spdx/Apache-1.0
approved/apache-1.1,spdx/Apache-1.1
approved/apache-2.0 + jcip-annotations notice,Approved/Apache-2.0 + CC-BY-2.5 License
approved/apache-2.0 license(1),spdx/Apache-2.0
approved/apache-2.0 licensed notice(2),Approved/Apache-2.0 licensed NOTICE
approved/apache-2.0 licensed notice(3),Approved/Apache-2.0 licensed NOTICE
approved/apache-2.0 licensed notice(4),Approved/Apache-2.0 licensed NOTICE
approved/apache-2.0(1),spdx/Apache-2.0
approved/apache-2.0(2),spdx/Apache-2.0
approved/arphic,FSF/Arphic
approved/berkeleydb,spdx/Sleepycat
approved/bittorrentosl1.1,spdx/BitTorrent-1.1
approved/bsd-2-clause + author license,spdx/BSD-2-Clause
approved/bsd-2-clause + author license(1),spdx/BSD-2-Clause
approved/bsd-2-clause + author license(2),spdx/BSD-2-Clause
approved/bsd-3-clause (continued-line) license,spdx/BSD-3-Clause
approved/bsd-3-clause (continued-line) license(2),spdx/BSD-3-Clause
approved/cnri-dor,FSF/DOR
approved/cryptix,FSF/CryptixGeneralLicense
approved/edl-v10,Approved/EDL-1.0
approved/epl-v10,spdx/EPL-1.0
approved/expat,spdx/MIT
approved/free-art-l-1.3,FSF/FreeArt
approved/freebsddl,spdx/BSD-2-Clause-FreeBSD
