classPackage,artifactId
mx4j.tools,mx4j--mx4j-tools--3.0.1
mx4j.util,mx4j--mx4j-tools--3.0.1
net.java.dev.jna,net.java.dev.jna--jna--4.4.0
net.jcip.annotations,net.jcip--jcip-annotation--1.0
net.masterthought.cucumber,net.masterthought--cucumber-reporting--1.1.0
net.masterthought.cucumber.charts,net.masterthought--cucumber-reporting--1.1.0
net.masterthought.cucumber.sandwich,net.masterthought--cucumber-sandwich--1.1.0
net.sf.cglib,cglib--cglib--1.0
net.sf.cglib.asm,cglib--cglib-nodep--2.1
net.sf.cglib.asm.attrs,cglib--cglib-nodep--3.2.6
net.sf.jopt-simple,net.sf.jopt-simple--jopt-simple--5.0.4
net.sourceforge.htmlunit,net.sourceforge.htmlunit--htmlunit--2.29
net.sourceforge.htmlunit.corejs.classfile,net.sourceforge.htmlunit--htmlunit-core-js--2.28
netscape.javascript,net.sourceforge.htmlunit--htmlunit--2.15
org.antlr.v4.runtime,org.antlr--antlr4-runtime--4.0
org.aopalliance,org.kie.modules--aopalliance--6.5.0.Final
org.apache.commons.cli,commons-cli--commons-cli--1.4
org.apache.commons.codec,commons-codec--commons-codec--1.5
org.apache.commons.codec.digest,commons-codec--commons-codec--1.11
org.apache.commons.collections,commons-collections--commons-collections--2.0.20020914.015953
org.apache.commons.collections.bag,commons-collections--commons-collections-testframework--3.2.1
org.apache.commons.configuration,commons-configuration--commons-configuration--1.10
org.apache.commons.el,commons-el--commons-el--1.0
org.apache.commons.exec,org.apache.commons--commons-exec--1.3
org.apache.commons.httpclient.contrib.ssl,commons-httpclient--commons-httpclient-contrib-ssl--3.1
org.apache.commons.io,commons-io--commons-io--2.1
org.apache.commons.lang,commons-lang--commons-lang--2.0
org.apache.commons.lang3,org.apache.commons--commons-lang3--3.1
org.apache.commons.logging,commons-logging--commons-logging--1.0.2
org.apache.commons.logging.impl,commons-logging--commons-logging--1.1
org.apache.http,org.apache.httpcomponents--httpcore--4.4.9
org.apache.http.auth,org.apache.httpcomponents--httpclient--4.5.5
org.apache.http.entity.mime,org.apache.httpcomponents--httpmime--4.5.5
org.apache.httpcomponents,org.apache.httpcomponents--httpclient--4.5.6
org.apache.james.mime4j,org.apache.james--apache-mime4j--0.6.1
org.apache.jasper,org.apache.tomcat--tomcat-jasper--9.0.6
org.apache.jasper.compiler,org.apache.tomcat--tomcat-jasper--8.5.29
org.apache.log4j,org.apache.logging.log4j--log4j-1.2-api--2.6.2
org.apache.log4j.chainsaw,log4j--log4j--1.2.15
org.apache.logging.log4j,org.apache.logging.log4j--log4j-core--2.11.1
org.apache.logging.log4j.core,org.apache.logging.log4j--log4j-core--2.11.1
org.apache.lucene,org.apache.lucene--lucene-core--7.6.0
org.apache.lucene.analysis.ar,org.apache.lucene--lucene-analyzers--3.6.2
org.apache.lucene.analysis.miscellaneous,org.apache.lucene--lucene-analyzers--3.6.2
