identificationType,fileIdentifier,fileSize,projectsName,licenseName(s),similarity(s)
pathSuffix,elasticsearch-6.2.3\lib\plugin-cli-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--plugin-cli---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/rank-eval/rank-eval-6.2.3.jar#/META-INF/LICENSE","0.93511,
0.93998,
0.93799"
pathSuffix,elasticsearch-6.2.3\lib\securesm-1.2.jar#\META-INF\maven\org.elasticsearch\securesm\pom.xml,3477,org.elasticsearch--securesm--1.2,Approved/elasticsearch-6.2.3/lib/securesm-1.2.jar#/META-INF/maven/org.elasticsearch/securesm/pom.xml,0.93534
pathSuffix,elasticsearch-6.2.3\lib\snakeyaml-1.17.jar#\META-INF\maven\org.yaml\snakeyaml\pom.xml,28005,org.yaml--snakeyaml--1.17,Approved/elasticsearch-6.2.3/lib/snakeyaml-1.17.jar#/META-INF/maven/org.yaml/snakeyaml/pom.xml,0.96181
pathSuffix,elasticsearch-6.2.3\lib\spatial4j-0.6.jar#\META-INF\maven\org.locationtech.spatial4j\spatial4j\pom.xml,13617,org.locationtech.spatial4j--spatial4j--0.6,Approved/elasticsearch-6.2.3/lib/spatial4j-0.6.jar#/META-INF/maven/org.locationtech.spatial4j/spatial4j/pom.xml,0.96064
pathSuffix,elasticsearch-6.2.3\lib\t-digest-3.0.jar#\META-INF\maven\com.tdunning\t-digest\pom.xml,7384,com.tdunning--t-digest--3.0,Approved/elasticsearch-6.2.3/lib/t-digest-3.0.jar#/META-INF/maven/com.tdunning/t-digest/pom.xml,0.94635
pathSuffix,elasticsearch-6.2.3\modules\aggs-matrix-stats\aggs-matrix-stats-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--aggs-matrix-stats---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.92242,
0.91917,
0.91863"
pathSuffix,elasticsearch-6.2.3\modules\analysis-common\analysis-common-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--analysis-common---6.2.3,"Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE","0.93630,
0.93571,
0.93568"
pathSuffix,elasticsearch-6.2.3\modules\ingest-common\ingest-common-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--ingest-common---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE","0.94045,
0.93610,
0.93569"
pathSuffix,elasticsearch-6.2.3\modules\ingest-common\jcodings-1.0.12.jar#\META-INF\maven\org.jruby.jcodings\jcodings\pom.xml,3411,org.jruby.jcodings--jcodings--1.0.12,Approved/elasticsearch-6.2.3/modules/ingest-common/jcodings-1.0.12.jar#/META-INF/maven/org.jruby.jcodings/jcodings/pom.xml,0.93897
pathSuffix,elasticsearch-6.2.3\modules\ingest-common\joni-2.1.6.jar#\META-INF\maven\org.jruby.joni\joni\pom.xml,4414,org.jruby.joni--joni--2.1.6,Approved/elasticsearch-6.2.3/modules/ingest-common/joni-2.1.6.jar#/META-INF/maven/org.jruby.joni/joni/pom.xml,0.93640
pathSuffix,elasticsearch-6.2.3\modules\lang-expression\antlr4-runtime-4.5.1-1.jar#\META-INF\maven\org.antlr\antlr4-runtime\pom.xml,2312,org.antlr--antlr4-runtime--4.5.1-1,"Approved/elasticsearch-6.2.3/modules/lang-expression/antlr4-runtime-4.5.1-1.jar#/META-INF/maven/org.antlr/antlr4-runtime/pom.xml
Approved/elasticsearch-6.2.3/modules/lang-painless/antlr4-runtime-4.5.3.jar#/META-INF/maven/org.antlr/antlr4-runtime/pom.xml","0.95292,
0.95158"
pathSuffix,elasticsearch-6.2.3\modules\lang-expression\lang-expression-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--lang-expression---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE","0.92454,
0.92695,
0.92482"
pathSuffix,elasticsearch-6.2.3\modules\lang-expression\lucene-expressions-7.2.1.jar#\META-INF\LICENSE.txt,24570,?--lucene-expressions---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-misc-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-core-7.2.1.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/lucene-analyzers-common-7.2.1.jar#/META-INF/LICENSE","0.93691,
0.93683,
0.93607"
pathSuffix,elasticsearch-6.2.3\modules\lang-expression\lucene-expressions-7.2.1.jar#\META-INF\NOTICE.txt,9571,?--lucene-expressions---7.2.1,"Approved/elasticsearch-6.2.3/lib/lucene-spatial3d-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-sandbox-7.2.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/lucene-queries-7.2.1.jar#/META-INF/NOTICE","0.96508,
0.96487,
0.96466"
pathSuffix,elasticsearch-6.2.3\modules\lang-mustache\compiler-0.9.3.jar#\META-INF\maven\com.github.spullara.mustache.java\compiler\pom.xml,3710,com.github.spullara.mustache.java--compiler--0.9.3,Approved/elasticsearch-6.2.3/modules/lang-mustache/compiler-0.9.3.jar#/META-INF/maven/com.github.spullara.mustache.java/compiler/pom.xml,0.94018
pathSuffix,elasticsearch-6.2.3\modules\lang-mustache\lang-mustache-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--lang-mustache---6.2.3,"Approved/elasticsearch-6.2.3/LICENSE
Approved/elasticsearch-6.2.3/modules/aggs-matrix-stats/aggs-matrix-stats-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/lang-painless-6.2.3.jar#/META-INF/LICENSE","0.93174,
0.93025,
0.92764"
pathSuffix,elasticsearch-6.2.3\modules\lang-painless\antlr4-runtime-4.5.3.jar#\META-INF\maven\org.antlr\antlr4-runtime\pom.xml,2310,org.antlr--antlr4-runtime--4.5.3,"Approved/elasticsearch-6.2.3/modules/lang-expression/antlr4-runtime-4.5.1-1.jar#/META-INF/maven/org.antlr/antlr4-runtime/pom.xml
Approved/elasticsearch-6.2.3/modules/lang-painless/antlr4-runtime-4.5.3.jar#/META-INF/maven/org.antlr/antlr4-runtime/pom.xml","0.95692,
0.95156"
pathSuffix,elasticsearch-6.2.3\modules\lang-painless\elasticsearch-scripting-painless-spi-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-scripting-painless-spi---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/log4j-core-2.9.1.jar#/META-INF/LICENSE","0.92816,
0.92753,
0.92480"
pathSuffix,elasticsearch-6.2.3\modules\lang-painless\lang-painless-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--lang-painless---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE","0.93248,
0.93655,
0.93340"
pathSuffix,elasticsearch-6.2.3\modules\mapper-extras\mapper-extras-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--mapper-extras---6.2.3,"Approved/elasticsearch-6.2.3/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/elasticsearch-scripting-painless-spi-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE","0.93102,
0.92946,
0.92699"
pathSuffix,elasticsearch-6.2.3\modules\parent-join\parent-join-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--parent-join---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE","0.92611,
0.92924,
0.92849"
pathSuffix,elasticsearch-6.2.3\modules\percolator\percolator-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--percolator---6.2.3,"Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/plugin-classloader-6.2.3.jar#/META-INF/LICENSE","0.93195,
0.93153,
0.93118"
pathSuffix,elasticsearch-6.2.3\modules\rank-eval\rank-eval-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--rank-eval---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-mustache/lang-mustache-6.2.3.jar#/META-INF/LICENSE","0.92866,
0.93230,
0.92896"
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-codec-1.10.jar#\META-INF\LICENSE.txt,11560,?--commons-codec---1.10,"Approved/elasticsearch-6.2.3/modules/reindex/httpclient-4.5.2.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/plugin-classloader-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE","0.92843,
0.92810,
0.92779"
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-codec-1.10.jar#\META-INF\NOTICE.txt,749,?--commons-codec---1.10,Approved/elasticsearch-6.2.3/modules/reindex/commons-codec-1.10.jar#/META-INF/NOTICE,0.90326
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-codec-1.10.jar#\META-INF\maven\commons-codec\commons-codec\pom.xml,11609,commons-codec--commons-codec--1.10,Approved/elasticsearch-6.2.3/modules/reindex/commons-codec-1.10.jar#/META-INF/maven/commons-codec/commons-codec/pom.xml,0.97548
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-logging-1.1.3.jar#\META-INF\LICENSE.txt,11358,?--commons-logging---1.1.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/elasticsearch-scripting-painless-spi-6.2.3.jar#/META-INF/LICENSE","0.93006,
0.92890,
0.92863"
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-logging-1.1.3.jar#\META-INF\NOTICE.txt,177,?--commons-logging---1.1.3,"Approved/elasticsearch-6.2.3/modules/reindex/commons-logging-1.1.3.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/log4j-api-2.9.1.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/NOTICE","0.83678,
0.83008,
0.82222"
pathSuffix,elasticsearch-6.2.3\modules\reindex\commons-logging-1.1.3.jar#\META-INF\maven\commons-logging\commons-logging\pom.xml,18353,commons-logging--commons-logging--1.1.3,Approved/elasticsearch-6.2.3/modules/reindex/commons-logging-1.1.3.jar#/META-INF/maven/commons-logging/commons-logging/pom.xml,0.97821
pathSuffix,elasticsearch-6.2.3\modules\reindex\elasticsearch-rest-client-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-rest-client---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE","0.93083,
0.93957,
0.93705"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpasyncclient-4.1.2.jar#\META-INF\LICENSE,11358,?--httpasyncclient---4.1.2,"Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/elasticsearch-scripting-painless-spi-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.92820,
0.92754,
0.92614"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpasyncclient-4.1.2.jar#\META-INF\NOTICE,179,?--httpasyncclient---4.1.2,"Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpclient-4.5.2.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/NOTICE","0.88229,
0.87264,
0.85199"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpasyncclient-4.1.2.jar#\META-INF\maven\org.apache.httpcomponents\httpasyncclient\pom.xml,5270,org.apache.httpcomponents--httpasyncclient--4.1.2,"Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/maven/org.apache.httpcomponents/httpasyncclient/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore-nio/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore/pom.xml","0.94592,
0.92877,
0.92756"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpclient-4.5.2.jar#\META-INF\LICENSE,11358,?--httpclient---4.5.2,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.92366,
0.92497,
0.92410"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpclient-4.5.2.jar#\META-INF\NOTICE,174,?--httpclient---4.5.2,"Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpclient-4.5.2.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/NOTICE","0.83954,
0.83596,
0.83359"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpclient-4.5.2.jar#\META-INF\maven\org.apache.httpcomponents\httpclient\pom.xml,6393,org.apache.httpcomponents--httpclient--4.5.2,"Approved/elasticsearch-6.2.3/modules/reindex/httpclient-4.5.2.jar#/META-INF/maven/org.apache.httpcomponents/httpclient/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/maven/org.apache.httpcomponents/httpasyncclient/pom.xml","0.94904,
0.91449"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-4.4.5.jar#\META-INF\LICENSE,22994,?--httpcore---4.4.5,Approved/elasticsearch-6.2.3/modules/reindex/httpcore-4.4.5.jar#/META-INF/LICENSE,0.92428
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-4.4.5.jar#\META-INF\NOTICE,308,?--httpcore---4.4.5,Approved/elasticsearch-6.2.3/modules/reindex/httpcore-4.4.5.jar#/META-INF/NOTICE,0.88400
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-4.4.5.jar#\META-INF\maven\org.apache.httpcomponents\httpcore\pom.xml,5522,org.apache.httpcomponents--httpcore--4.4.5,"Approved/elasticsearch-6.2.3/modules/reindex/httpcore-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore-nio/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/maven/org.apache.httpcomponents/httpasyncclient/pom.xml","0.94664,
0.93099,
0.91400"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-nio-4.4.5.jar#\META-INF\LICENSE,11358,?--httpcore-nio---4.4.5,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE","0.93316,
0.93631,
0.93426"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-nio-4.4.5.jar#\META-INF\NOTICE,176,?--httpcore-nio---4.4.5,"Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/modules/reindex/httpclient-4.5.2.jar#/META-INF/NOTICE","0.88741,
0.88619,
0.88247"
pathSuffix,elasticsearch-6.2.3\modules\reindex\httpcore-nio-4.4.5.jar#\META-INF\maven\org.apache.httpcomponents\httpcore-nio\pom.xml,4915,org.apache.httpcomponents--httpcore-nio--4.4.5,"Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore-nio/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-4.4.5.jar#/META-INF/maven/org.apache.httpcomponents/httpcore/pom.xml
Approved/elasticsearch-6.2.3/modules/reindex/httpasyncclient-4.1.2.jar#/META-INF/maven/org.apache.httpcomponents/httpasyncclient/pom.xml","0.94494,
0.94252,
0.94139"
pathSuffix,elasticsearch-6.2.3\modules\reindex\reindex-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--reindex---6.2.3,"Approved/elasticsearch-6.2.3/modules/analysis-common/analysis-common-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/elasticsearch-scripting-painless-spi-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/aggs-matrix-stats/aggs-matrix-stats-6.2.3.jar#/META-INF/LICENSE","0.92631,
0.92532,
0.92525"
pathSuffix,elasticsearch-6.2.3\modules\repository-url\repository-url-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--repository-url---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/parent-join/parent-join-6.2.3.jar#/META-INF/LICENSE","0.93474,
0.93493,
0.93332"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-buffer-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-buffer\pom.xml,1493,io.netty--netty-buffer--4.1.16.Final,"Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-resolver-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-resolver/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-transport-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-transport/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-buffer-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-buffer/pom.xml","0.91211,
0.91114,
0.90977"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-codec-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-codec\pom.xml,3169,io.netty--netty-codec--4.1.16.Final,"Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-codec-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-codec/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-codec-http-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-codec-http/pom.xml","0.93997,
0.90559"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-codec-http-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-codec-http\pom.xml,1841,io.netty--netty-codec-http--4.1.16.Final,"Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-codec-http-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-codec-http/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-buffer-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-buffer/pom.xml","0.93909,
0.89936"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-common-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-common\pom.xml,7533,io.netty--netty-common--4.1.16.Final,Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-common-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-common/pom.xml,0.94548
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-common-4.1.16.Final.jar#\META-INF\maven\org.jctools\jctools-core\pom.xml,4093,org.jctools--jctools-core--4.1.16.Final,Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-common-4.1.16.Final.jar#/META-INF/maven/org.jctools/jctools-core/pom.xml,0.95461
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-handler-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-handler\pom.xml,2919,io.netty--netty-handler--4.1.16.Final,Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-handler-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-handler/pom.xml,0.93974
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-resolver-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-resolver\pom.xml,1498,io.netty--netty-resolver--4.1.16.Final,"Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-resolver-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-resolver/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-transport-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-transport/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-buffer-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-buffer/pom.xml","0.94324,
0.93708,
0.91626"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\netty-transport-4.1.16.Final.jar#\META-INF\maven\io.netty\netty-transport\pom.xml,1669,io.netty--netty-transport--4.1.16.Final,"Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-transport-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-transport/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-resolver-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-resolver/pom.xml
Approved/elasticsearch-6.2.3/modules/transport-netty4/netty-buffer-4.1.16.Final.jar#/META-INF/maven/io.netty/netty-buffer/pom.xml","0.93025,
0.91319,
0.90345"
pathSuffix,elasticsearch-6.2.3\modules\transport-netty4\transport-netty4-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--transport-netty4---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE","0.93514,
0.93286,
0.93067"
pathSuffix,elasticsearch-6.2.3\modules\tribe\tribe-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--tribe---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/lang-painless/lang-painless-6.2.3.jar#/META-INF/LICENSE","0.92873,
0.92775,
0.92693"
